datum,Product,Sales
1/31/2014,M01AB,127.69
1/31/2014,M01AE,99.09
1/31/2014,N02BA,152.1
1/31/2014,N02BE,878.03
1/31/2014,N05B,354
1/31/2014,N05C,50
1/31/2014,R03,112
1/31/2014,R06,48.2
2/28/2014,M01AB,133.32
2/28/2014,M01AE,126.05
2/28/2014,N02BA,177
2/28/2014,N02BE,1001.9
2/28/2014,N05B,347
2/28/2014,N05C,31
2/28/2014,R03,122
2/28/2014,R06,36.2
3/31/2014,M01AB,137.44
3/31/2014,M01AE,92.95
3/31/2014,N02BA,147.655
3/31/2014,N02BE,779.275
3/31/2014,N05B,232
3/31/2014,N05C,20
3/31/2014,R03,112
3/31/2014,R06,85.4
4/30/2014,M01AB,113.1
4/30/2014,M01AE,89.475
4/30/2014,N02BA,130.9
4/30/2014,N02BE,698.5
4/30/2014,N05B,209
4/30/2014,N05C,18
4/30/2014,R03,97
4/30/2014,R06,73.7
5/31/2014,M01AB,101.79
5/31/2014,M01AE,119.933
5/31/2014,N02BA,132.1
5/31/2014,N02BE,628.78
5/31/2014,N05B,270
5/31/2014,N05C,23
5/31/2014,R03,107
5/31/2014,R06,123.7
6/30/2014,M01AB,112.07
6/30/2014,M01AE,94.71
6/30/2014,N02BA,122.9
6/30/2014,N02BE,548.225
6/30/2014,N05B,323
6/30/2014,N05C,23
6/30/2014,R03,57
6/30/2014,R06,109.3
7/31/2014,M01AB,117.06
7/31/2014,M01AE,95.01
7/31/2014,N02BA,129.3
7/31/2014,N02BE,491.9
7/31/2014,N05B,348
7/31/2014,N05C,21
7/31/2014,R03,61
7/31/2014,R06,69.1
8/31/2014,M01AB,134.79
8/31/2014,M01AE,99.78
8/31/2014,N02BA,123.8
8/31/2014,N02BE,583.85
8/31/2014,N05B,420
8/31/2014,N05C,29
8/31/2014,R03,37
8/31/2014,R06,70.8
9/30/2014,M01AB,108.78
9/30/2014,M01AE,109.094
9/30/2014,N02BA,122.1
9/30/2014,N02BE,887.82
9/30/2014,N05B,399
9/30/2014,N05C,14
9/30/2014,R03,115
9/30/2014,R06,58.8
10/31/2014,M01AB,154.75
10/31/2014,M01AE,185.241
10/31/2014,N02BA,191.6
10/31/2014,N02BE,1856.815
10/31/2014,N05B,472
10/31/2014,N05C,30
10/31/2014,R03,182
10/31/2014,R06,74.5
11/30/2014,M01AB,138.08
11/30/2014,M01AE,100.86
11/30/2014,N02BA,142.7
11/30/2014,N02BE,723.8
11/30/2014,N05B,489
11/30/2014,N05C,19
11/30/2014,R03,112
11/30/2014,R06,45.2
12/31/2014,M01AB,131.9
12/31/2014,M01AE,121.401
12/31/2014,N02BA,111.124
12/31/2014,N02BE,1015.66
12/31/2014,N05B,492
12/31/2014,N05C,25
12/31/2014,R03,163
12/31/2014,R06,33.4
1/31/2015,M01AB,135.91
1/31/2015,M01AE,130.349
1/31/2015,N02BA,141
1/31/2015,N02BE,1044.24
1/31/2015,N05B,463
1/31/2015,N05C,24
1/31/2015,R03,177.25
1/31/2015,R06,42
2/28/2015,M01AB,115.71
2/28/2015,M01AE,123.74
2/28/2015,N02BA,131.83
2/28/2015,N02BE,953.252
2/28/2015,N05B,243
2/28/2015,N05C,9
2/28/2015,R03,208
2/28/2015,R06,47
3/31/2015,M01AB,156.04
3/31/2015,M01AE,129.386
3/31/2015,N02BA,133.8
3/31/2015,N02BE,1084.85
3/31/2015,N05B,208
3/31/2015,N05C,13
3/31/2015,R03,195
3/31/2015,R06,54
4/30/2015,M01AB,154.5
4/30/2015,M01AE,101.115
4/30/2015,N02BA,122.1
4/30/2015,N02BE,940.17
4/30/2015,N05B,192
4/30/2015,N05C,5
4/30/2015,R03,97
4/30/2015,R06,112
5/31/2015,M01AB,160.02
5/31/2015,M01AE,119.117
5/31/2015,N02BA,136.04
5/31/2015,N02BE,765.9
5/31/2015,N05B,194
5/31/2015,N05C,10
5/31/2015,R03,100
5/31/2015,R06,159.5
6/30/2015,M01AB,151.87
6/30/2015,M01AE,113.69
6/30/2015,N02BA,145.46
6/30/2015,N02BE,746.788
6/30/2015,N05B,217
6/30/2015,N05C,12
6/30/2015,R03,193
6/30/2015,R06,125.8
7/31/2015,M01AB,175.61
7/31/2015,M01AE,113.81
7/31/2015,N02BA,125.5
7/31/2015,N02BE,708.828
7/31/2015,N05B,203
7/31/2015,N05C,6
7/31/2015,R03,60
7/31/2015,R06,130.3
8/31/2015,M01AB,181.69
8/31/2015,M01AE,144.519
8/31/2015,N02BA,133.4
8/31/2015,N02BE,790.788
8/31/2015,N05B,265.5
8/31/2015,N05C,15
8/31/2015,R03,45
8/31/2015,R06,83.7
9/30/2015,M01AB,166.22
9/30/2015,M01AE,134.122
9/30/2015,N02BA,110.4
9/30/2015,N02BE,852.125
9/30/2015,N05B,243.5
9/30/2015,N05C,11
9/30/2015,R03,91
9/30/2015,R06,71
10/31/2015,M01AB,195.81
